,cos_profile,corr_growth,corr_growth_lag2,dtw_level,dtw_composition,road_gravity,snf_cos_corr_road,learned_logmodel
cos_profile,1.0,0.03882730631776607,0.03404924044002095,0.05701841219560483,0.14164420485175203,0.04842846366607996,0.1182326679324678,0.338911676237353
corr_growth,0.03882730631776607,1.0,0.3936494127881688,0.06476162053271656,0.03100617409593595,0.03911222324974161,0.07049399198931909,0.04360598549527219
corr_growth_lag2,0.03404924044002095,0.3936494127881688,1.0,0.058819345661450924,0.02775430614234644,0.032085841402774144,0.05688270499769809,0.039992874320833705
dtw_level,0.05701841219560483,0.06476162053271656,0.058819345661450924,1.0,0.028297747879496928,0.025744948053430756,0.04677035479050202,0.05612319726228306
dtw_composition,0.14164420485175203,0.03100617409593595,0.02775430614234644,0.028297747879496928,1.0,0.0473973058373524,0.0771026768746267,0.15403923979304338
road_gravity,0.04842846366607996,0.03911222324974161,0.032085841402774144,0.025744948053430756,0.0473973058373524,1.0,0.5072049768298103,0.05159724708596889
snf_cos_corr_road,0.1182326679324678,0.07049399198931909,0.05688270499769809,0.04677035479050202,0.0771026768746267,0.5072049768298103,1.0,0.10995337522805596
learned_logmodel,0.338911676237353,0.04360598549527219,0.039992874320833705,0.05612319726228306,0.15403923979304338,0.05159724708596889,0.10995337522805596,1.0
