rule,sparsifier,edges,deg_mean,deg_max,components,isolates,clustering,same_region_share,assort_types,assort_logpop,leiden_Q,leiden_K,sim_sec,k4_SW,k4_CH,k4_S_Dbw,k4_AVI,k4_AVU,k4_ANUI,k4_MQ,k4_Q,k6_SW,k6_CH,k6_S_Dbw,k6_AVI,k6_AVU,k6_ANUI,k6_MQ,k6_Q,k6_boot_ari,sec
cos_profile,knn15_mutual,9448,9.373015873015873,15,2,0,0.31386487190058576,0.27825994919559693,0.7548701385116897,0.7445191841305591,0.7617228309237087,15,0.006140947341918945,0.20346736702442586,428.5426010974272,0.7956555707402272,0.8480417217585474,0.5368579212636183,0.5827352373728645,3.3921668870341897,0.5154099480743102,0.14734268377136386,328.98835240571765,0.7806406673305218,0.7703238049806372,0.5429575600404416,0.5431497288702667,4.621942829883824,0.5729919273845806,0.6697297938624666,3.6
cos_profile,knn15,20797,20.631944444444443,39,1,0,0.3212907935757764,0.22700389479251815,0.7035864510380772,0.6836137726709733,0.6617159983446788,7,0.006140947341918945,0.19602855123027013,426.93724097871444,0.8088602166044869,0.8096704941246381,0.5516511697244233,0.5596843174355064,3.2386819764985524,0.5054646649122839,0.14342771235248905,326.70250644963716,0.783612889085639,0.734847913752867,0.59434705351093,0.5114637298086444,4.409087482517202,0.5469521982703548,0.7835760083978824,3.2
cos_profile,epsilon,9448,9.373015873015873,140,1539,1464,0.11014015594364258,0.6825783234546994,0.6048912800930093,0.28992778376219525,0.3892001590201426,1545,0.006140947341918945,0.15206927261867317,339.2011966613841,0.8700934086313081,0.9258171053571321,0.5000000000000253,0.6328605459732657,3.7032684214285285,0.022262370320015767,0.09799706051681256,293.6677252427629,0.7733288839347173,0.8431111105707506,0.6295583529501326,0.5507694779926706,5.058666663424503,0.07631726295795792,0.5098142914197382,7.7
cos_profile,tmfg,6037,5.989087301587301,23,2,0,0.6949085577731419,0.2779526254762299,0.7508995590440894,0.7271025929272901,0.9273244095979593,30,0.006140947341918945,0.19566645330584834,429.31904429700865,0.8099164037061773,0.8182928779220532,0.5537357692408416,0.5631289802516084,3.2731715116882127,0.5064284088258405,0.14012898498019252,329.14054538535464,0.7804388871780998,0.7332278152122332,0.528772943182927,0.5283721174134837,4.3993668912734,0.524056253929896,0.6190377980397894,5.1
cos_profile,disparity,68352,67.80952380952381,130,1,0,0.38169870837576675,0.1681443117977528,0.6433177039289623,0.6377188931962228,0.594220381630472,7,0.006140947341918945,0.1934988822715187,419.04347346296646,0.8090155943344105,0.783336764656481,0.6020763790475219,0.5322924441920384,3.133347058625924,0.4932266299231176,0.12968889898062727,312.3165576667111,0.7855947294460717,0.71575119149264,0.6175274222524334,0.4963614304905366,4.29450714895584,0.5481344241814105,0.7757931646175502,4.3
corr_growth,knn15_mutual,7702,7.640873015873016,17,9,0,0.17621634228995903,0.2617501947546092,0.5116108080915962,0.6468787967299005,0.7018470730217012,22,0.006412982940673828,0.2033604390279626,428.7879648661782,0.7985045627776395,0.704777675668312,0.5329971461429466,0.5123254451973894,2.819110702673248,0.38637478877617215,0.1423888011778382,329.097268684641,0.7702627324650064,0.5817887675539047,0.48995519211031047,0.45273613794484796,3.490732605323428,0.37427173733210894,0.6389890661780797,4.2
corr_growth,knn15,22586,22.40674603174603,73,1,0,0.2150360952610865,0.23275480386079872,0.47770306869614604,0.5691969466681865,0.610948391925668,8,0.006412982940673828,0.2038736655999415,426.4062852044714,0.8114851273811597,0.6577431441852555,0.5836180797393867,0.47529230949280754,2.630972576741022,0.38850400771705296,0.1448948248559057,328.2010134373506,0.7803320714857693,0.5498509113650174,0.5503982178599293,0.4221060261070469,3.2991054681901044,0.3793303040495253,0.7767118356362482,3.5
corr_growth,epsilon,9448,9.373015873015873,153,1577,1552,0.1222870947312341,0.7757197290431838,0.39398441288735825,0.222819703552282,0.45116981408160195,1580,0.006412982940673828,0.10206492431404439,335.9100586861374,0.8229098642823864,0.7499701195621811,0.4999999999999857,0.5454387407537277,2.9998804782487243,0.02263002981652472,0.1204794305196,263.5647848790285,0.7974458229215602,0.8073334576283334,0.5666950178028295,0.553912106208033,4.844000745770001,0.06717865472436421,0.8036357129660472,7.0
corr_growth,tmfg,6042,5.994047619047619,41,1,0,0.7251579615865559,0.2677921218139689,0.48862774264179204,0.5859957888266014,0.9089480806175521,26,0.006412982940673828,0.20041942780282718,429.32229736462835,0.8071897289457027,0.6500887439797968,0.6002690169609137,0.46761299771599074,2.600354975919187,0.37928649546815274,0.14675406037472163,330.3248142195647,0.7835992480206496,0.557369328554631,0.527731188622408,0.43068664989403094,3.3442159713277855,0.3799926315947052,0.7229935246154845,5.1
corr_growth,disparity,72460,71.88492063492063,185,1,0,0.28607657318806307,0.17670438862820867,0.4082515487588566,0.5222152620880289,0.5473529353745484,5,0.006412982940673828,0.20105027717418414,417.7922082062396,0.8005707514505066,0.6176402473066515,0.6767917331395568,0.43556715841296395,2.470560989226606,0.3621468256644109,0.08282342237051941,280.83292858795323,0.758816844557302,0.5982394079300186,0.5296785740322294,0.4542873023064709,3.5894364475801117,0.4123247964641655,0.4198052745730513,4.3
