type,feature,lo,hi,median,others_inside,separation
0,доля продовольствия,0.4050960302599616,0.49212560311106246,0.4468979922841228,0.4596829772570641,0.5403170227429359
0,доля здоровья,0.036546660211338296,0.05162205844954698,0.04449571299113949,0.5354927636113026,0.4645072363886974
0,доля общепита,0.014826053696154884,0.04162312769016757,0.024342366335539087,0.357684355616816,0.642315644383184
0,доля маркетплейсов,0.14284636870313508,0.20369278712222103,0.1707800287445416,0.47966919365954513,0.5203308063404548
0,доля транспорта,0.03499867971984511,0.055816600949072814,0.04523110925161664,0.3494141971054445,0.6505858028945555
0,доля прочего,0.23052798462521024,0.3004355301721421,0.26334692502106577,0.3735354927636113,0.6264645072363887
0,"траты на жителя, ₽/мес",20093.875,31658.275,25116.083333333332,0.4534803583735355,0.5465196416264645
0,население,10771.6,58346.4,25420.0,0.5279117849758787,0.47208821502412135
0,"зарплата, ₽",46926.11,86166.68000000001,60901.2,0.48173673328738803,0.5182632667126119
0,доступность рынков,220.18,391.72,312.2,0.5995864920744314,0.4004135079255686
0,доля городского населения,0.0,1.0,0.6318311045593346,0.9986216402481047,0.001378359751895264
0,рост г/г,0.09209149023877292,0.19134141482579997,0.14224942032223886,0.8173673328738801,0.18263266712611992
0,сезонная амплитуда,0.3121062603967378,0.4480317750667979,0.3862344565061786,0.7870434183321847,0.21295658166781528
0,занятость: сельское хозяйство,0.0,0.1499637485056797,0.0006250434057920689,0.8594073053066851,0.14059269469331492
0,занятость: добыча,0.0,0.04558126710926383,0.0,0.8966230186078566,0.10337698139214335
0,занятость: промышленность,0.02077197632703425,0.4678762080848263,0.16621159143926922,0.7546519641626465,0.24534803583735354
0,занятость: рыночные услуги,0.0646210708957401,0.30580777087722466,0.15329346217697487,0.6581667815299793,0.3418332184700207
0,занятость: бюджетный сектор,0.2720811397458926,0.6527326732673268,0.44273759238393995,0.6147484493452792,0.38525155065472083
1,доля продовольствия,0.4385029849235444,0.5263050211484386,0.4787026373288345,0.38664904163912756,0.6133509583608725
1,доля здоровья,0.04108630036405997,0.058358522052209406,0.049660399772479547,0.6787838730998017,0.3212161269001983
1,доля общепита,0.007405156148522068,0.01930302789568644,0.012476304954999405,0.1844018506278916,0.8155981493721084
1,доля маркетплейсов,0.1538141830742496,0.22329353086524564,0.18892416641773424,0.41771315267680104,0.582286847323199
1,доля транспорта,0.04123801716926291,0.06197804741536318,0.050769123972192125,0.43159286186384666,0.5684071381361533
1,доля прочего,0.1822385429703077,0.2514603328924484,0.21550090406294423,0.18638466622604097,0.813615333773959
1,"траты на жителя, ₽/мес",18287.8,23621.7,20671.208333333332,0.23595505617977527,0.7640449438202247
1,население,6534.0,27453.0,12565.0,0.4170522141440846,0.5829477858559153
1,"зарплата, ₽",40182.119999999995,58896.76,47172.5,0.29411764705882354,0.7058823529411764
1,доступность рынков,223.74,371.15999999999997,330.8,0.5122273628552545,0.4877726371447455
1,доля городского населения,0.0,0.6336194959844919,0.2726660956809005,0.4540647719762062,0.5459352280237938
1,рост г/г,0.09940993436454999,0.1804500671353295,0.13600447460668064,0.6847323198942499,0.3152676801057501
1,сезонная амплитуда,0.33198055377573327,0.46562111099684705,0.3978311372011163,0.7475214805023133,0.25247851949768674
1,занятость: сельское хозяйство,0.0,0.24373162317968194,0.027696793002915453,0.9623265036351619,0.03767349636483808
1,занятость: добыча,0.0,0.0,0.0,0.8043621943159286,0.1956378056840714
1,занятость: промышленность,0.0,0.19827822452127913,0.050869565217391305,0.619960343688037,0.380039656311963
1,занятость: рыночные услуги,0.049281420725642545,0.22847881090061972,0.11769759450171821,0.5631196298744217,0.43688037012557834
1,занятость: бюджетный сектор,0.387468708227002,0.7392269971813584,0.5810185185185185,0.5241242564441507,0.4758757435558493
2,доля продовольствия,0.3815433277463822,0.5149832466082324,0.44195550759887486,0.7061611374407583,0.29383886255924174
2,доля здоровья,0.029811579862550112,0.045045085547392574,0.0367447105767803,0.32490784623486046,0.6750921537651395
2,доля общепита,0.019379294974609777,0.05465402241626785,0.0329685770282128,0.41179568193786203,0.5882043180621379
2,доля маркетплейсов,0.05448064043669617,0.12906317080021432,0.10097255200789941,0.14428646656134808,0.8557135334386519
2,доля транспорта,0.032412371169513746,0.06748853008659864,0.04828807332946706,0.7151132174828857,0.2848867825171143
2,доля прочего,0.29570055337264073,0.4075206580831542,0.3346200754745348,0.28488678251711425,0.7151132174828858
2,"траты на жителя, ₽/мес",27924.516666666666,49709.675,36593.166666666664,0.31700895208004215,0.6829910479199579
2,население,5816.400000000001,40595.000000000015,13977.0,0.6456029489204844,0.3543970510795156
2,"зарплата, ₽",81219.06,164979.68000000002,115596.0,0.20537124802527645,0.7946287519747235
2,доступность рынков,123.58,177.16000000000003,138.1,0.03475513428120063,0.9652448657187994
2,доля городского населения,0.0,0.9759659864195612,0.5584848064381851,0.7604002106371774,0.23959978936282256
2,рост г/г,0.05768152253709432,0.17969793913876914,0.12834983506013664,0.7919957872564508,0.2080042127435492
2,сезонная амплитуда,0.33805269464164667,0.5413592106330264,0.42077894670209837,0.7993680884676145,0.20063191153238547
2,занятость: сельское хозяйство,0.0,0.10841174667719952,0.012758718457612702,0.808320168509742,0.19167983149025802
2,занятость: добыча,0.0,0.3650669477763798,0.0,0.976303317535545,0.023696682464455
2,занятость: промышленность,0.0,0.360542738146224,0.12074937027707808,0.8636124275934702,0.13638757240652977
2,занятость: рыночные услуги,0.047300221411320086,0.32660927340820034,0.14854560858514543,0.7735650342285414,0.2264349657714586
2,занятость: бюджетный сектор,0.14525966465812692,0.7385009192362276,0.4295259970766339,0.8830963665086888,0.11690363349131117
3,доля продовольствия,0.39182981540019757,0.4919913018261481,0.4463269048883254,0.5520581113801453,0.44794188861985473
