type,feature,lo,hi,median,others_inside,separation
0,доля продовольствия,0.43201074819928714,0.5234059834313439,0.47735729925774045,0.3816280806572069,0.6183719193427931
0,доля здоровья,0.03934515541424587,0.057362845216235,0.048072806904162,0.7035100821508589,0.29648991784914114
0,доля общепита,0.008162480023565023,0.023382438354913628,0.013799546338935135,0.2270351008215086,0.7729648991784914
0,доля маркетплейсов,0.142328705888006,0.22047573252272862,0.18067679666622996,0.5660941000746826,0.43390589992531736
0,доля транспорта,0.03960893560758234,0.06496877032208849,0.05104206623589827,0.5108289768483943,0.48917102315160566
0,доля прочего,0.18692566258930687,0.2714933739944808,0.22557270181143727,0.30918595967139656,0.6908140403286034
0,"траты на жителя, ₽/мес",18005.466666666667,23689.175,20491.916666666668,0.18147871545929797,0.818521284540702
0,население,6851.200000000001,24858.8,12997.0,0.3039581777445855,0.6960418222554146
0,"зарплата, ₽",40368.340000000004,59354.54,47761.7,0.23300970873786409,0.7669902912621359
0,доступность рынков,224.22,366.08,322.3,0.44286781179985063,0.5571321882001494
0,доля городского населения,0.0,0.5786421901592279,0.0,0.3241224794622853,0.6758775205377148
0,рост г/г,0.09049717430717599,0.17875476949650024,0.13394122671083641,0.6960418222554144,0.30395817774458556
0,сезонная амплитуда,0.31687385134392054,0.46556772749861575,0.3949690940290811,0.8244958924570575,0.17550410754294254
0,занятость: сельское хозяйство,0.0,0.25113588524206765,0.046125461254612546,0.9723674383868559,0.02763256161314409
0,занятость: добыча,0.0,0.0,0.0,0.7826736370425691,0.2173263629574309
0,занятость: промышленность,0.0,0.12235039470333593,0.04580896686159844,0.3764002987303958,0.6235997012696042
0,занятость: рыночные услуги,0.04693377742946708,0.20817598280544306,0.11232449297971919,0.48842419716206126,0.5115758028379387
0,занятость: бюджетный сектор,0.42493226159477715,0.7514042553191489,0.597254004576659,0.39581777445855115,0.6041822255414488
1,доля продовольствия,0.3974423864460912,0.484234972621469,0.4501307401588659,0.46013071895424834,0.5398692810457517
