cluster,size,доля продовольствия,доля здоровья,доля общепита,доля маркетплейсов,доля транспорта,доля прочего,"траты на жителя, ₽/мес",население,"зарплата, ₽",доступность рынков,доля городского населения,рост г/г,сезонная амплитуда,занятость: сельское хозяйство,занятость: добыча,занятость: промышленность,занятость: рыночные услуги,занятость: бюджетный сектор
0,677,0.11014180185156035,0.012120971357958286,-0.563703399973633,0.13274391451710402,-0.07770792829336771,-0.1668844248111082,-0.2785514998688791,-0.73916688215088,-0.3459747736934546,-0.05052186248452471,-0.6034739951492489,-0.09008745980806636,0.015637061478518535,0.8019181646653504,-0.7567546112877618,-0.639398307471022,-0.38948535098171416,0.24060522353819455
1,486,0.03651559874666306,-0.0510992410348461,-0.19888655100728164,0.07430719514135399,-0.10720695593417848,-0.04502961586498253,-0.13059090520498268,-0.38721684574180215,-0.191260687171843,-0.014326159877682345,0.008041145477797216,-0.00960300498125087,-0.007312133049426651,0.1619508291755176,-0.5949661574088927,0.2807256382285869,-0.08051394234367448,-0.03187535374818009
2,152,0.05091000412431339,-0.1783920093170904,-0.1574525738088521,-0.2568057643548139,0.149575519144291,0.0895962671181228,-0.0018743377743085893,-0.6497120384025168,0.02584447469493127,-0.4801324883344348,-0.5042434581506788,-0.14121380356075483,0.14065270453379752,-0.2479759678301562,-0.5088853821030651,-0.5355006620469993,-0.39704105294629927,0.3353228069222014
3,116,-0.031106685206832053,-0.15823258936892687,0.18857521417110643,-0.18151002427827845,-0.17998567045969519,0.19643365093487836,0.3318184919890583,-0.43104927478406724,0.7001996959762335,-0.38708840684005746,0.2107980184681807,-0.04402091970250223,-0.002861071447225384,-0.6009074547572125,10.784527299309342,0.17462942194177955,0.01796860830698684,-0.43079474144351687
4,313,-0.07929952115107083,0.04642027397469662,0.408579138291678,-0.07249464763709394,0.07684613449111304,0.09237273023161739,0.12938875339216266,2.1230072428105635,0.03275927319029436,-0.02590715238348822,0.7476332689545055,0.14527981481452845,-0.025142940967633365,-0.8139577744896662,-0.45040465679257097,1.1834011513865352,0.1627936730862527,-0.21034343903383826
5,272,-0.26331535245221643,0.17488732927393655,1.2958046384613615,-0.15882523256674644,0.28970906914078903,0.2556895155683994,0.6372861022061408,0.6326676884838448,0.8369036633973144,0.5967867561537508,0.8192764802155207,0.17189196139972995,-0.07430213322546123,-0.9372108600219409,-0.8949426719762561,-0.03327652149311366,1.1319654365357585,-0.30386117853407435
