graph,method,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance
knn,leiden_r0.3,6,0.0730582399103914,214.91673703827342,0.607342306676925,11.222950958772742,0.9596087979742217,0.5549859141825777,0.6261437943771122,0.6346469540784803,16.845867751733074,5.7576527878453305,0.040391202025778374
knn,leiden_r0.5,9,0.015827354831919976,170.04315041895575,0.6734645022442698,13.2782472827456,0.9036031978174874,0.48940571924983917,0.6265325862826123,0.7301222036551362,26.309525358109035,8.132428780357387,0.09639680218251254
knn,leiden_r1.0,15,0.009005150560645572,123.5124017457914,0.7032279539680817,17.358002444492374,0.8519804526574454,0.5004203073349063,0.597315845459152,0.7617228309237086,45.13099174437208,12.779706789861681,0.14801954734255449
knn,kefrin_e_K5,5,0.14004015620901455,321.728343452479,0.6483463966400572,7.8132687130541685,0.8778306546092207,0.42814092239934265,0.6380347282209254,0.5129732226821373,10.679334162147931,4.389153273046103,0.12216934539077928
knn,kefrin_c_K5,5,0.11389859079298961,347.64273264406603,0.7805279130165729,7.230842942929295,0.8216993782080119,0.5839776811471529,0.555257021353621,0.611646056916742,12.960624014968554,4.108496891040059,0.17830062179198816
knn,kefrin_e_K6,6,0.0946068594377785,294.41076062393176,0.6678949606885876,8.192635333329378,0.8156543927925227,0.416356499193281,0.6088776960075502,0.5428335112312446,12.806898074787124,4.893926356755136,0.1843456072074774
knn,kefrin_c_K6,6,0.11080424122468198,304.8770576697489,0.776518684658871,7.911385718674652,0.8203036975146119,0.559930677823397,0.5621162711992361,0.644695802966778,16.291912983611226,4.921822185087671,0.17969630248538815
knn,kefrin_e_K8,8,0.06256798314800514,223.3406275566809,0.5331291491562323,10.275144150719907,0.5424407215041692,0.6730795822710558,0.3973616782973622,0.5277638900768945,14.271569562696794,4.339525772033354,0.4575592784958308
knn,kefrin_c_K8,8,0.10010636166727484,250.72815026629337,0.7431586620159931,9.152770203185487,0.7627662382237785,0.5349336744933395,0.5417260940403735,0.6488303329672206,21.120319002672947,6.102129905790228,0.23723376177622146
knn,kmeans_K6,6,0.14263644239649798,331.2204827585488,0.7833430832270601,7.28215833728582,0.7264761305691384,0.5415542098153463,0.521359600532125,0.5244222563748988,14.088394137562478,4.35885678341483,0.2735238694308616
learned,leiden_r0.3,29,0.04563459657215606,48.44396227251066,0.3839055902852613,42.481336975238925,0.6314744991820086,0.08273024272613859,0.6001228576901991,0.6557987467154728,6.606469900282191,18.31276047627825,0.3685255008179914
learned,leiden_r0.5,31,0.04021287838159106,53.57442139797698,0.410207777347259,38.2863055380402,0.6394796798853455,0.11120808304181001,0.5970222573672754,0.7043208274458844,8.126531540031287,19.823870076445708,0.36052032011465446
learned,leiden_r1.0,39,0.008933887767359632,54.460036936687274,0.47673132692051523,37.25716011078593,0.6646467039315405,0.19784486361874246,0.587404775474684,0.7484739142791788,14.093788814468436,25.921221453330084,0.33535329606845954
learned,kefrin_e_K5,5,0.1700129387406674,323.51460263398144,0.7035092117791155,7.770128394618436,0.869034472524468,0.42490738475088685,0.6346749357255259,0.5632495282867126,2.431426414379848,4.34517236262234,0.13096552747553197
learned,kefrin_c_K5,5,0.11673630983846048,350.30739314694296,0.7845970778089322,7.175840559395675,0.80247309481474,0.5795415866721187,0.5477383299919665,0.5995612341198192,2.55695205079893,4.0123654740737,0.19752690518525995
learned,kefrin_e_K6,6,0.15677457637344167,293.8856619984807,0.7280743983884088,8.207273480434267,0.8184498192734674,0.4053497611977168,0.6145632687066959,0.5759337861008138,2.708261316679127,4.910698915640804,0.18155018072653273
learned,kefrin_c_K6,6,0.1161841402391112,307.6253099546065,0.7827420876633624,7.840707256356496,0.7921159084824532,0.5655388116766943,0.5470518422040382,0.6280968070662729,3.0955123028930593,4.752695450894719,0.20788409151754697
learned,kefrin_e_K8,8,0.12655241130225867,236.51593317243382,0.6451902780556947,9.702759184448093,0.8203680089547629,0.3980421289076174,0.6184264121209694,0.5966070435821993,3.5839580961238764,6.562944071638103,0.17963199104523705
learned,kefrin_c_K8,8,0.10275222658854805,251.8783894999851,0.7474307059023063,9.11097274924127,0.735181064414481,0.5206506933168116,0.5316717305163386,0.6170011749173665,3.8289902150874457,5.8814485153158484,0.26481893558551906
learned,kmeans_K6,6,0.14263644239649798,331.2204827585488,0.7833430832270601,7.28215833728582,0.7184366636313904,0.5292180548858111,0.5205271979607635,0.5570325997944412,2.8298922866324,4.310619981788342,0.2815633363686097
