cluster,name,продовольствие,здоровье,общепит,маркетплейсы,транспорт,прочее,траты на жителя,население,зарплата,доступность рынков,доля городского населения,рост г/г,сезонность,занятость: сельское хозяйство,занятость: добыча,занятость: промышленность,занятость: рыночные услуги,занятость: бюджетный сектор
0,Сельские и малые,0.47735729925774045,0.048072806904162,0.013799546338935135,0.18067679666622996,0.05104206623589827,0.22557270181143727,20491.916666666668,12997.0,47761.7,322.3,0.0,0.13394122671083641,0.3949690940290811,0.046125461254612546,0.0,0.04580896686159844,0.11232449297971919,0.597254004576659
1,Полугородские промышленные районы,0.4501307401588659,0.04536059443590784,0.024544718646953196,0.17012007450343541,0.048990375806966135,0.26120923736262297,24437.166666666668,29607.5,58641.0,324.45,0.5730835854693319,0.14408978879926748,0.3864655045215031,0.029444124459400436,0.0,0.1770825459582785,0.16336848635235734,0.4588869035106159
2,Удалённые районы Востока и Сибири,0.44895491664877785,0.03931522718743368,0.026474179155586187,0.11520133460016463,0.06276392463395863,0.2960845938603885,27225.145833333336,17064.0,71265.2,151.0,0.0,0.12956883489920856,0.42872537838896463,0.015601290407894519,0.0,0.04446379549132351,0.0990567265157429,0.6608517321448613
3,Северные ресурсные центры,0.416583622213244,0.039283240969440414,0.03871865776065415,0.1347486999085973,0.045320403247981866,0.3239541098334087,37187.979166666664,24122.5,126837.54999999999,203.9,0.7368501814656092,0.14090154540978483,0.3741672072477753,0.0,0.28300261481303507,0.14689283164168232,0.19559918787078745,0.25154934338360313
4,Региональные центры,0.3965622770170936,0.049759530830615774,0.047949710392545974,0.14699182441091155,0.06214007761333953,0.29784935339149704,31200.583333333332,77948.0,73622.2,315.7,0.9871652669941372,0.1708651786626887,0.3749114926423971,0.0007877493926231318,0.0,0.33606564035907227,0.21418792781580587,0.3608458390177353
5,Столичные агломерации,0.31936836317662187,0.05633993036766545,0.07811496150246211,0.13053147850934532,0.07256399315452661,0.3388813276836277,46765.95833333333,76523.0,128120.7,562.3,1.0,0.17179660390710427,0.35624171832273266,0.0,0.0,0.12170221168136927,0.43531714633446117,0.28234694427043194
