cluster,name,продовольствие,здоровье,общепит,маркетплейсы,транспорт,прочее,траты на жителя,население,зарплата,доступность рынков,доля городского населения,рост г/г,сезонность,занятость: сельское хозяйство,занятость: добыча,занятость: промышленность,занятость: рыночные услуги,занятость: бюджетный сектор
0,Крупные и средние города,0.411627828111092,0.048253044484798745,0.04099828764957297,0.15480325881158324,0.05841920066857609,0.2881709148846501,29295.354166666664,56239.0,68897.6,321.6,0.8958766627081995,0.16768235434148127,0.3766952343883565,0.0024084409297714035,0.0,0.3121647362466942,0.19603302947147971,0.3742376168430326
1,Северные и ресурсные,0.43252300481503664,0.03874336007255367,0.03356018934642004,0.11493387143383654,0.048953024854365416,0.3207468106422437,34491.208333333336,20767.0,111490.6,149.2,0.6226086956521739,0.13523295009147973,0.3960923243989054,0.008330883073605803,0.00693716804566969,0.11210601719197708,0.16395005242588886,0.38034227999625925
2,Столичные агломерации,0.3199593200908517,0.05633993036766545,0.07770313546362273,0.13057798622592717,0.07256399315452661,0.3386363551913657,46751.08333333333,77377.0,127498.45,560.9000000000001,1.0,0.17179660390710427,0.35677388318271497,0.0,0.0,0.12453682593835458,0.43577308305769724,0.2795185045884718
3,Сельские и малые,0.4690857839260936,0.04673588372639442,0.016154710184901378,0.17496293981121822,0.05092736155017599,0.2384764325298757,21351.541666666668,15570.0,50272.8,317.6,0.2609733559217619,0.13453222881937532,0.39543718789208704,0.037037037037037035,0.0,0.055667789001122334,0.11857707509881421,0.5725839900456242
