method,K,ari_mean,ari_min,jaccard_min,jaccard_mean,min_size,SW,CH,S_Dbw,AVI,ANUI,MQ,modularity
kefrin,4,0.9110141241082352,0.5237157887430849,0.8342765002847027,0.9059969515199822,215,0.1958721897175563,429.1885228809009,0.8104309239303205,0.8359277625635567,0.5787225914262397,3.343711050254227,0.5631149087937183
kmeans,4,0.9324432795265529,0.8514605496557385,0.8575041771742634,0.9227825536933405,235,0.19869908138251807,429.64725130170194,0.8033500202724342,0.8236547800183561,0.5684856001715081,3.2946191200734245,0.5584142409915389
kefrin,5,0.8069115787806618,0.5488941728318654,0.5689255528683616,0.8104938502236279,170,0.16979719432512613,366.5503430789508,0.8026385433863426,0.7858978804191253,0.5652192408164862,3.929489402095627,0.5781398192885621
kmeans,5,0.7396580332113961,0.49992336865877274,0.5396115406780682,0.7934664594018989,182,0.15307418705203893,367.4860739193484,0.7954927714459669,0.7610431414100001,0.5478995114073613,3.8052157070500003,0.5685420894821401
kefrin,6,0.7409433327301728,0.47869161392258436,0.6359819264625532,0.7673227244851514,118,0.14407627143044074,330.3470761274531,0.7819706845902762,0.7469159495503712,0.5342665117868377,4.481495697302227,0.5840364276110996
kmeans,6,0.7353713482920327,0.5697314036823081,0.47518944584539724,0.7574039332407075,120,0.14263644239649798,331.2204827585488,0.7833430832270601,0.7184366636313904,0.5205271979607635,4.310619981788342,0.5570325997944412
kefrin,7,0.5680597663563888,0.48628258882502556,0.2909620848520663,0.6274808521109512,98,0.12899163834194768,296.5461401715245,0.7695760491050482,0.7417728597672415,0.5412473628783199,5.1924100183706905,0.6004287973039107
kmeans,7,0.7936796975455457,0.47742371095684355,0.7313157891844186,0.8182896700594453,112,0.14160349220079962,306.9940915343958,0.7599663182595999,0.6142189651789468,0.4641015591027556,4.299532756252628,0.49715231599354626
