type,feature,lo,hi,median,others_inside,separation
0,доля продовольствия,0.3618523522951649,0.4572038763252029,0.411627828111092,0.32427055702917773,0.6757294429708223
0,доля здоровья,0.040707750716973114,0.055935645814658166,0.048253044484798745,0.6180371352785146,0.38196286472148544
0,доля общепита,0.02262900934395767,0.06040986122856883,0.04099828764957297,0.26790450928381965,0.7320954907161803
0,доля маркетплейсов,0.12619989427760217,0.18489781638881345,0.15480325881158324,0.5523872679045093,0.4476127320954907
0,доля транспорта,0.040003490328066466,0.07273585947645789,0.05841920066857609,0.7553050397877984,0.2446949602122016
0,доля прочего,0.2513153389147992,0.32113352919930027,0.2881709148846501,0.3322281167108753,0.6677718832891246
0,"траты на жителя, ₽/мес",24074.2375,37983.39166666667,29295.354166666664,0.21220159151193635,0.7877984084880636
0,население,20819.4,268115.9000000001,56239.0,0.42572944297082227,0.5742705570291777
0,"зарплата, ₽",53544.380000000005,93425.34,68897.6,0.3030503978779841,0.6969496021220158
0,доступность рынков,221.7,416.3,321.6,0.6770557029177718,0.32294429708222816
0,доля городского населения,0.5068606401729036,1.0,0.8958766627081995,0.4316976127320955,0.5683023872679045
0,рост г/г,0.1188459154938927,0.20601356687889033,0.16768235434148127,0.7088859416445623,0.2911140583554377
0,сезонная амплитуда,0.3169039761201923,0.432224742319764,0.3766952343883565,0.6889920424403183,0.3110079575596817
0,занятость: сельское хозяйство,0.0,0.06583285700040958,0.0024084409297714035,0.6942970822281167,0.3057029177718833
0,занятость: добыча,0.0,0.04784968857513092,0.0,0.8972148541114059,0.10278514588859411
0,занятость: промышленность,0.09428160892613602,0.5160987379660752,0.3121647362466942,0.3806366047745358,0.6193633952254642
0,занятость: рыночные услуги,0.0995893562523024,0.3517730581893551,0.19603302947147971,0.536472148541114,0.463527851458886
0,занятость: бюджетный сектор,0.2619534518556555,0.5304092663362158,0.3742376168430326,0.38461538461538464,0.6153846153846154
