date,mean_share,median_share,pop_weighted_share,std_share,within_type_std,cafe_mean_share,food_mean_share,type0_mean,type1_mean,type2_mean,type3_mean
2023-01,0.09428223036917766,0.09288838716458389,0.08766940938476878,0.02728979661224728,0.023186444902879935,0.034560064007073,0.44616464101372527,0.0948959524907194,0.06517092924343486,0.08923987829622787,0.10079777719069223
2023-02,0.1003366527744307,0.09912387511849367,0.09330394790902863,0.028952895432927,0.024816174535763742,0.03260910157903242,0.4431620907049999,0.10153921875011819,0.06691341595383907,0.09473086490078135,0.10752452656179176
2023-03,0.10340577588444679,0.10181613577684917,0.09634844379458313,0.0309694177892326,0.02582014632698114,0.03293375044926099,0.44104988221133606,0.10496588146532446,0.064653324452043,0.09800078085982274,0.11136717706190997
2023-04,0.10086504868195237,0.09969475051987842,0.09433071153341246,0.029681582896700007,0.025392626612792662,0.031064091263647925,0.4597262539505447,0.10315758971608464,0.06542622938126316,0.09562473313605523,0.10780071503582209
2023-05,0.10230963658650093,0.10006669611479252,0.09494981217942687,0.030945772736519564,0.026057413123764993,0.031976492980722006,0.4601350810993233,0.10419540189506744,0.06592393876906025,0.09533722723710139,0.11008362624714091
2023-06,0.10336598142673105,0.10148025844281627,0.0955264499468537,0.030687583321479684,0.02548659638402154,0.034602359642663574,0.464415351065493,0.10522169995131084,0.06600643005943,0.09526813647058278,0.11163735337854831
2023-07,0.1079015782838563,0.10502791794390767,0.0987988403193589,0.03223284335604774,0.025570671440768356,0.03727057711683097,0.4577515391584464,0.10899892734297724,0.0676512655790092,0.09685316033946548,0.1178733439618348
2023-08,0.11328180880124991,0.11066821799905108,0.10390576190204492,0.033025025211959436,0.025916961576288453,0.03730917169830274,0.4424488761253138,0.11336646212513171,0.07090459963092745,0.10159838609794972,0.12431862323306436
2023-09,0.12335493584119706,0.12130588472677944,0.11525304178140158,0.035431710139249735,0.028984549716854074,0.03510421226290889,0.4437153975664225,0.1251106489207945,0.07930225291784421,0.11330573222519616,0.13345324936447023
2023-10,0.13752909182144918,0.1346360506862359,0.1279191543168196,0.038366786336605396,0.03152411300344041,0.03240181021294951,0.4356636821159963,0.13863959674383167,0.08843006153292825,0.12629989194409796,0.1492064626718251
2023-11,0.1628580132729666,0.16143655590691672,0.15430046580848866,0.0401339139470628,0.03303200485090226,0.030381409117547265,0.4284214272409241,0.16470473764294744,0.10937763902530709,0.15166330041130766,0.17498942865210013
2023-12,0.1549419428547186,0.15431847922091968,0.14592132389676057,0.04021132726642346,0.03290823942743378,0.02668764456702864,0.4491884576750672,0.1547888755124599,0.09795058253963697,0.14612394917678093,0.16808065040189268
2024-01,0.13727983074698383,0.13565770192135174,0.12665828832173123,0.0329827571577509,0.027338424956291015,0.032687164593044486,0.4474410335481509,0.1351580733736787,0.09661332849188847,0.12273793741414485,0.14983661304712492
2024-02,0.14913527047007466,0.14833091997729275,0.13650207987819518,0.03501466051125405,0.029119476474039785,0.03119568117845806,0.43867246833171175,0.14693805973124982,0.10695297264372564,0.12978589284484324,0.16329357264560476
2024-03,0.1494267185446575,0.1481377918978966,0.13704648386179216,0.03542706584406897,0.029104372917441175,0.03224406454701316,0.43739097025552753,0.14788024361541158,0.10471681502119286,0.13055069020892032,0.16361555583664922
2024-04,0.1484636618018259,0.147758217225475,0.135025557603561,0.034171550155415724,0.028298288223377946,0.032185461943149404,0.43822172194586373,0.14625423683492642,0.10810711042431999,0.12787271501867667,0.1626150761836466
2024-05,0.144649272238279,0.14370082129440187,0.13195833317141983,0.03282539880180428,0.027496385506969662,0.0335252357116719,0.44992587437573195,0.1427146496614092,0.10757595703593736,0.1256826017322722,0.15761637522107974
2024-06,0.1452552114345045,0.14409598857137165,0.1313185446265116,0.03250985993792062,0.026947172292874993,0.03672167056113406,0.4457146718546714,0.14284996618152596,0.1087885970970183,0.12379777702346748,0.15900169772357764
2024-07,0.1487883790857425,0.1464579057595841,0.13319471208610484,0.03394819398291561,0.026696116993433234,0.038681811780714934,0.4415769802730776,0.14574671721551175,0.10986630447244262,0.12487907829499585,0.16396093048199792
2024-08,0.160080281278855,0.1583116696073894,0.14050001756054864,0.038038909727187466,0.02829039909258821,0.03876218516265422,0.41242243591060385,0.15485487865043598,0.1155761574533867,0.12637336621169465,0.17997991217542125
2024-09,0.16628057648289862,0.16454875039465855,0.147829388503484,0.0382078868485291,0.030047221136133034,0.03634958011008127,0.4139397742441152,0.16175104456242026,0.12421882037789247,0.13458831399650836,0.18484384466257325
2024-10,0.17729066315166134,0.1753282923540641,0.157472794728785,0.04026452454774272,0.031683010828300426,0.034137500947325365,0.40806218522261234,0.17164266432400366,0.13233543369741554,0.14410341733810533,0.19734382900756306
2024-11,0.19283629348835762,0.19099061336056433,0.1715291456080993,0.04159070578566988,0.0322181818419033,0.03177110385405183,0.404563324319261,0.18567802207352502,0.14811888676604443,0.15741750251520625,0.21417851383375386
2024-12,0.19317054137325612,0.19237792281703753,0.17426822548139692,0.04067650080846327,0.032949115986043734,0.02790137786367364,0.4155315210823436,0.18738741642677098,0.14347702798488163,0.16400472067746874,0.21311058871711874
