access_q,n,d_share_pp_median,d_share_pp_q25,d_share_pp_q75,access_median,share_2023_median
q1 (низкая),403.0,4.114434545832572,3.4239782937411856,5.254240273077057,193.9,9.927598315293345
q2,401.0,4.475068556795611,3.888921442522339,5.251812259770613,281.9,11.2138284205703
q3,399.0,4.489900424378673,3.840772019505625,5.3193163072691885,323.5,11.4628859503845
q4,400.0,4.33194004681295,3.6713439459824153,5.080736606586258,359.1,13.562918002795326
q5 (высокая),401.0,2.6888266973269,2.358445072934186,3.3158714951142865,441.1,11.236244683626536
