access_q,n,d_share_pp_median,d_share_pp_q25,d_share_pp_q75,access_median
q1 (низкая),208.0,4.704704837562192,4.099777138104594,5.615756159748603,212.9
q2,208.0,4.96034988926284,4.277956550022338,5.776907811665989,284.65
q3,206.0,4.961884978259334,4.353477990367886,5.665017031254144,317.70000000000005
q4,207.0,4.762236934340962,4.14016404632663,5.5355835538773785,343.8
q5 (высокая),208.0,4.511099932828504,3.8392991838081074,5.142430283318755,368.0
