type,d_share_pp_median,d_share_pp_q25,d_share_pp_q75,n,share_2023_median,share_2024_median,share_std_2023,share_std_2024,d_cafe_pp_median,d_food_pp_median
Крупные и средние города,3.6640652949200945,3.2829430198782497,4.081984728699902,508.0,11.777487651459587,15.480325881158324,2.3520261467474466,2.4711775807102967,0.14791737644701436,-1.6417741737034781
Северные и ресурсные,3.867221049707352,3.1034548581503723,4.845597651096575,195.0,7.104907396112033,11.493387143383655,3.4545525387203164,3.904914751802777,0.09254242649587678,-1.6213616135417275
Сельские и малые,4.800935330609647,4.154992420254344,5.524484744764304,1037.0,12.609805784312186,17.49629398112182,3.205746976537195,3.07665317671443,-0.04049765952344499,-1.9394910523051312
Столичные агломерации,2.47135996832892,2.2797242287798074,2.787472633248336,276.0,10.56305646722501,13.057798622592717,1.6683315492813873,1.8211716839759493,0.3151024715901778,-1.4642001920987247
