id,beh,beh_name,switches_beh,beh_seq,macro,sub
1674,0,Базовая корзина малых городов,3,000000000000000003003333,0,4
1675,3,Транспортная корзина,2,333333300000333333333333,0,4
1676,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
1678,1,Продукты и маркетплейсы,2,111111111111111110001111,3,0
1679,0,Базовая корзина малых городов,0,000000000000000000000000,3,0
1680,1,Продукты и маркетплейсы,4,111113113333311111111111,3,0
1681,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1682,0,Базовая корзина малых городов,2,000333000000000000000000,3,0
1683,3,Транспортная корзина,5,030000000110333333333333,3,1
1685,0,Базовая корзина малых городов,1,111111111111000000000000,3,0
1686,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1687,3,Транспортная корзина,4,133333333333330300000000,3,0
1688,0,Базовая корзина малых городов,4,000000033313000000000000,3,0
1689,1,Продукты и маркетплейсы,2,111333331111111111111111,3,0
1690,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1691,1,Продукты и маркетплейсы,1,311111111111111111111111,3,0
1692,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1693,3,Транспортная корзина,3,333333333333301110000000,3,0
1694,0,Базовая корзина малых городов,0,000000000000000000000000,3,0
1696,0,Базовая корзина малых городов,5,111333000033111110000000,3,0
1697,0,Базовая корзина малых городов,5,330000303333000000000000,3,0
1698,1,Продукты и маркетплейсы,4,111111111111001001111111,3,0
1699,0,Базовая корзина малых городов,1,333300000000000000000000,3,0
1700,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
1701,0,Базовая корзина малых городов,0,000000000000000000000000,3,0
1702,1,Продукты и маркетплейсы,2,111111111111111111101111,3,0
1703,3,Транспортная корзина,5,333333300033330333331111,3,0
1704,0,Базовая корзина малых городов,2,000000000000000000033322,3,1
1705,0,Базовая корзина малых городов,0,000000000000000000000000,3,0
1706,0,Базовая корзина малых городов,7,301333311100000000111110,3,0
1707,4,Общепит и услуги,1,444444444444444443333333,0,4
1708,0,Базовая корзина малых городов,2,000000000000000003333000,0,4
1709,0,Базовая корзина малых городов,0,000000000000000000000000,0,4
1710,0,Базовая корзина малых городов,1,000000000000000000000011,3,0
1711,0,Базовая корзина малых городов,3,111111110111000000000000,3,0
1712,1,Продукты и маркетплейсы,3,111111111111101111000000,3,0
1714,1,Продукты и маркетплейсы,2,111111111111110111111111,3,0
1715,1,Продукты и маркетплейсы,7,111111111110000101100010,3,0
1717,0,Базовая корзина малых городов,5,000111101111000000000011,3,0
1718,1,Продукты и маркетплейсы,2,111111111111001111111111,3,0
1719,0,Базовая корзина малых городов,6,000333000000003330100000,3,1
1722,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1724,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1725,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1726,4,Общепит и услуги,1,444444444444444443333333,0,1
1727,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1728,1,Продукты и маркетплейсы,4,011111111111110010000000,3,0
1730,0,Базовая корзина малых городов,12,313331113311000100001010,3,0
1731,0,Базовая корзина малых городов,2,000000001000000000000000,3,1
1732,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1733,1,Продукты и маркетплейсы,7,110111111101111111110100,3,0
1737,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1738,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1739,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1740,3,Транспортная корзина,2,333333300033333333333333,3,1
1741,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1742,0,Базовая корзина малых городов,2,000000000000000000000110,3,1
1743,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1744,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1745,1,Продукты и маркетплейсы,1,111111111111111111111100,3,1
1746,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1747,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1749,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1750,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
1751,1,Продукты и маркетплейсы,2,111111131111111111111111,3,0
1752,0,Базовая корзина малых городов,2,011111100000000000000000,3,1
1753,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
