cluster,name,size,продовольствие,здоровье,общепит,маркетплейсы,транспорт,прочее,траты на жителя,население,зарплата,доступность рынков,доля городского населения,рост г/г,сезонность,занятость: сельское хозяйство,занятость: добыча,занятость: промышленность,занятость: рыночные услуги,занятость: бюджетный сектор
0,Базовая корзина малых городов,565,0.04283640650855291,-0.06880270559400493,-0.22293958027145264,0.07635791110244498,-0.19704022111116953,-0.03149714428462104,-0.1051632487958996,-0.4495107569581665,-0.13895646638895884,-0.053613386683219966,0.13227902184469445,-0.04011861090021741,-0.006288880692556169,-0.06556354196194522,0.07344483721430445,0.33353923083963133,-0.13517765557927597,-0.05295111686152258
1,Продукты и маркетплейсы,503,0.11728129957791675,0.041620762298653635,-0.611074554978568,0.18796956523623046,-0.09000461440927993,-0.2070938460083407,-0.27299118744460094,-0.7234765646789508,-0.35278520708831146,-0.030717979310899885,-0.4832497946794978,-0.06764546812981902,0.03033197247379798,0.6366623675033772,-0.8155808618829569,-0.527322017516545,-0.3493682926524378,0.2029911490449866
2,Дорогая корзина без онлайна,117,0.02653336543101044,-0.21978048845802264,0.0405369088887571,-0.39717729478019,-0.13465043173372349,0.25140233745986396,0.3197015881337296,-0.5506095556740175,0.581594722595101,-0.5587133213668426,-0.0952213148797829,-0.18726375915860277,0.12094966275477956,-0.24787622931087605,3.402599746169934,0.026725900852545934,-0.14568331034696988,-0.08999398655063874
3,Транспортная корзина,364,0.03267222549142617,-0.038310726135703736,-0.16998686253742146,-0.06877597024728746,0.1535452126127459,-0.015248425633629766,-0.17858338961300874,-0.40768351507584083,-0.2141489434390594,-0.15082200743098068,-0.43467937570299603,0.0008303530988960204,0.011547993256764526,0.3582538551067454,0.1296360066758687,-0.2819506872288609,-0.24596468615622408,0.18083611500014363
4,Общепит и услуги,467,-0.21026157858529376,0.12333556035840425,1.0502436052060538,-0.14172743988738862,0.24938691455564174,0.21006519167204127,0.4803663187618982,1.7757033278093888,0.5616135468050075,0.3411280867618789,0.7210592856295528,0.16766658869695944,-0.06436476370620448,-0.8136230566425281,-0.180780419317218,0.37220652234724994,0.7612856526369736,-0.27019812169693797
