cluster,name,продовольствие,здоровье,общепит,маркетплейсы,транспорт,прочее,траты на жителя,население,зарплата,доступность рынков,доля городского населения,рост г/г,сезонность,занятость: сельское хозяйство,занятость: добыча,занятость: промышленность,занятость: рыночные услуги,занятость: бюджетный сектор
0,Базовая корзина малых городов,0.4468979922841228,0.04449571299113949,0.024342366335539087,0.1707800287445416,0.04523110925161664,0.26334692502106577,25116.083333333332,25420.0,60901.2,312.2,0.6318311045593346,0.14224942032223886,0.3862344565061786,0.0006250434057920689,0.0,0.16621159143926922,0.15329346217697487,0.44273759238393995
1,Продукты и маркетплейсы,0.4787026373288345,0.049660399772479547,0.012476304954999405,0.18892416641773424,0.050769123972192125,0.21550090406294423,20671.208333333332,12565.0,47172.5,330.8,0.2726660956809005,0.13600447460668064,0.3978311372011163,0.027696793002915453,0.0,0.050869565217391305,0.11769759450171821,0.5810185185185185
2,Дорогая корзина без онлайна,0.44195550759887486,0.0367447105767803,0.0329685770282128,0.10097255200789941,0.04828807332946706,0.3346200754745348,36593.166666666664,13977.0,115596.0,138.1,0.5584848064381851,0.12834983506013664,0.42077894670209837,0.012758718457612702,0.0,0.12074937027707808,0.14854560858514543,0.4295259970766339
3,Транспортная корзина,0.4463269048883254,0.04556841876539182,0.025877909655448873,0.1460394424320494,0.06348266364986338,0.2702185522962194,23516.5,23095.5,57138.2,296.70000000000005,0.0,0.14634967479033956,0.39478340698854986,0.030209708168353132,0.0,0.06756756756756757,0.13492726968734325,0.5512037978975923
4,Общепит и услуги,0.33772099142742856,0.054416958469100885,0.06892666038780071,0.1338194469763457,0.07139897482668596,0.3266799403451414,42473.916666666664,89544.0,110892.9,408.0,1.0,0.17099582346494158,0.3612463976009419,0.0,0.0,0.18122779751332152,0.31319372163703735,0.32159481886257846
