row_0,0,1,2,3,4
Полугородские промышленные районы,429,4,53,0,0
Региональные центры,113,36,152,12,0
Северные ресурсные центры,32,0,39,45,0
Сельские и малые,669,0,8,0,0
Столичные агломерации,3,258,10,1,0
Удалённые районы Востока и Сибири,76,0,15,47,14
