graph,method,K,ami_median,switch_median,switch_max,share_never_switch,SW,CH,AVI,MQ,Q
knn_k4,kefrin_t_affect_fe,4,0.9628224215486202,0.0074404761904761,0.0322420634920634,0.8913690476190477,0.2322833664891135,488.9269425295536,0.7989014494682193,3.195605797872877,0.4660372784476858
knn_minsize,kefrin_t_affect_fe,4,0.921849874216462,0.0198412698412698,0.0317460317460317,0.8531746031746031,0.232374473591532,490.1015859418194,0.8043158739054298,3.217263495621719,0.4711160725915332
learned_beh_windowlog,kefrin_t_affect_fe,4,0.8464644592620509,0.0426587301587301,0.0634920634920634,0.6116071428571429,0.2366819838527764,695.0621989904158,0.891336126281297,3.565344505125188,0.5873527306243461
learned_tgfa1,kefrin_t_affect_fe,4,0.9690677088031244,0.0059523809523809,0.0188492063492063,0.9027777777777778,0.2315210136406652,490.5489783547808,0.809562229422555,3.23824891769022,0.5014214202400664
learned_tgfa_s02,kefrin_t_affect_fe,4,0.9683545432374048,0.0059523809523809,0.0238095238095238,0.9057539682539684,0.2293450230331436,490.1436828272652,0.8104663696125453,3.241865478450181,0.5252638388720297
learned_windowlog,kefrin_t_affect_fe,4,0.948510518348744,0.0114087301587301,0.0267857142857142,0.8883928571428571,0.2311009660280001,490.8265852518968,0.8079964141786364,3.2319856567145457,0.5335934243795715
learned_windowlog_2pass,kefrin_t_affect_fe,4,0.948510518348744,0.0114087301587301,0.0267857142857142,0.8883928571428571,0.2311009660280001,490.8265852518968,0.8079964141786364,3.2319856567145457,0.5335934243795715
learned_windowlog_2pass_ma3,kefrin_t_affect_fe,4,0.9510980257984584,0.0104166666666666,0.0267857142857142,0.8864087301587301,0.235657560104776,502.7004143534284,0.808410543309392,3.233642173237568,0.5358344172292587
knn_k4,kefrin_warm,4,0.9007944655784698,0.023313492063492,0.0431547619047619,0.8407738095238095,0.2323280715696313,490.6516803589421,0.8057151048980536,3.2228604195922146,0.4744378041116128
knn_minsize,kefrin_warm,4,0.9007944655784698,0.023313492063492,0.0431547619047619,0.8407738095238095,0.2323280715696313,490.6516803589421,0.8057151048980536,3.2228604195922146,0.4744378041116127
learned_beh_windowlog,kefrin_warm,4,0.7288245412521347,0.0927579365079365,0.1800595238095238,0.439484126984127,0.2412320561709618,710.3782595395014,0.9135725320964522,3.6542901283858087,0.6099055043823144
learned_tgfa1,kefrin_warm,4,0.9102621076298948,0.0203373015873015,0.0376984126984126,0.8611111111111112,0.2301286432344159,492.6170328056978,0.8134529016527076,3.2538116066108302,0.5058907569903303
learned_tgfa_s02,kefrin_warm,4,0.9058963046574304,0.0218253968253968,0.0381944444444444,0.8611111111111112,0.2303930165166899,492.4039955197621,0.8141859326659163,3.2567437306636653,0.5296366629010718
learned_windowlog,kefrin_warm,4,0.903050174555598,0.0228174603174603,0.0362103174603174,0.8621031746031746,0.2306715233037721,492.3783787801531,0.8128056118354117,3.2512224473416467,0.5379411119329057
learned_windowlog_2pass,kefrin_warm,4,0.903050174555598,0.0228174603174603,0.0362103174603174,0.8621031746031746,0.2306715233037721,492.3783787801531,0.8128056118354117,3.2512224473416467,0.5379411119329057
learned_windowlog_2pass_ma3,kefrin_warm,4,0.9512725960560404,0.0099206349206349,0.0238095238095238,0.8849206349206349,0.2367900127953406,502.49980816837007,0.8107735965791426,3.2430943863165704,0.537035123913974
knn,kefrin_t_affect_fe,5,0.9766757894268288,0.0049603174603174,0.0114087301587301,0.92609126984127,0.1756201530110278,361.3104505528741,0.6937011045698078,3.4685055228490396,0.4530159612785714
knn_minsize,kefrin_t_affect_fe,5,0.9069520515855124,0.029265873015873,0.0798611111111111,0.6150793650793651,0.1587389884842946,425.98367974347576,0.7281456169711698,3.640728084855849,0.4857890363911554
learned_beh_windowlog,kefrin_t_affect_fe,5,0.8282515282028762,0.0610119047619047,0.1259920634920635,0.460813492063492,0.2310457904371445,642.0343045583448,0.8677994477379244,4.338997238689622,0.6281310480844309
learned_tgfa1,kefrin_t_affect_fe,5,0.9464046825887166,0.0153769841269841,0.0967261904761904,0.7475198412698413,0.1585947386408324,427.16060617462,0.7308183503598226,3.654091751799113,0.4978974785190411
learned_tgfa_s02,kefrin_t_affect_fe,5,0.9266924508485264,0.021329365079365,0.0639880952380952,0.746031746031746,0.1651990363250473,424.8852624347598,0.7578665868812879,3.78933293440644,0.5541006171543031
learned_windowlog,kefrin_t_affect_fe,5,0.9023148250217412,0.0342261904761904,0.0758928571428571,0.6939484126984127,0.1672683162286777,426.21544710343096,0.7592885215616274,3.7964426078081366,0.562466642078543
knn,kefrin_warm,5,0.8595128593126513,0.0481150793650793,0.2455357142857142,0.3635912698412698,0.1636187696341147,402.2604851862695,0.7547618942330837,3.773809471165418,0.4900786594133459
knn_minsize,kefrin_warm,5,0.8262443912219305,0.0694444444444444,0.1155753968253968,0.5109126984126984,0.1568124129722049,427.5196706488423,0.7519417691959367,3.759708845979683,0.5153523679609374
learned_beh_windowlog,kefrin_warm,5,0.7112489577271819,0.1165674603174603,0.1954365079365079,0.3883928571428571,0.23699860436686,656.039445310818,0.8944084155272995,4.472042077636498,0.6501465680338732
learned_tgfa1,kefrin_warm,5,0.8399873705042105,0.0625,0.0927579365079365,0.5848214285714286,0.1559218055439575,429.62852707685056,0.7625608188944675,3.812804094472338,0.5339604275356518
learned_tgfa_s02,kefrin_warm,5,0.8400751483066854,0.0644841269841269,0.1071428571428571,0.6001984126984127,0.1580241480478218,428.39007087260694,0.7762806390796579,3.8814031953982897,0.5702036747981495
learned_windowlog,kefrin_warm,5,0.838569392448398,0.0654761904761904,0.1101190476190476,0.6021825396825397,0.1587309954194767,428.34249993958616,0.7760539410507908,3.8802697052539545,0.5757348142769569
learned_beh_windowlog,temporal_leiden_w2.0,5,0.9927687062055942,0.0009920634920634,0.0034722222222222,0.9737103174603174,0.1907005035693988,383.9965607536394,0.888588648593534,4.44294324296767,0.5501600531028273
learned_windowlog,temporal_leiden_w2.0,5,0.9927687062055942,0.0009920634920634,0.0034722222222222,0.9737103174603174,0.1569382633042983,260.25537033471255,0.888588648593534,4.44294324296767,0.5501600531028273
learned_windowlog_2pass,temporal_leiden_w2.0,5,0.9927687062055942,0.0009920634920634,0.0034722222222222,0.9737103174603174,0.1569382633042983,260.25537033471255,0.888588648593534,4.44294324296767,0.5501600531028273
learned_windowlog_2pass_ma3,temporal_leiden_w2.0,5,0.9927687062055942,0.0009920634920634,0.0034722222222222,0.9737103174603174,0.1604587497924815,265.28732619108115,0.888588648593534,4.44294324296767,0.5501600531028273
knn,kefrin_t_affect_fe,6,0.961395256119987,0.0084325396825396,0.0873015873015873,0.7703373015873016,0.1679896719719974,338.37757495971994,0.6356210302198939,3.813726181319364,0.4663719406896271
