t,date,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance,method,Kset
0,2023-01,4,0.22848207811683047,477.37456701970973,0.8251893849206711,5.619626289298955,0.8218731878986106,0.5185887662039915,0.576262097561918,0.5190592708556079,27.676105008432714,3.2874927515944425,0.17812681210138936,kefrin_warm,4
1,2023-02,4,0.23162045139665105,488.4376904807832,0.8223537862710505,5.492341641420097,0.8330164092626995,0.520214823685643,0.5811685012093547,0.5225870490195207,27.786900951531486,3.332065637050798,0.16698359073730057,kefrin_warm,4
2,2023-03,4,0.2326942141131034,489.61788728615045,0.8197990720991238,5.479102656024532,0.8366649340528179,0.5215751313277099,0.5824801402213984,0.5275590949076705,27.569805008592294,3.3466597362112718,0.16333506594718206,kefrin_warm,4
3,2023-04,4,0.22874455399216284,479.26789931742366,0.8203062550115843,5.59742613783927,0.8205212643764388,0.5245648400886032,0.5736239785166354,0.5284582372526264,28.032907296215008,3.282085057505755,0.1794787356235611,kefrin_warm,4
4,2023-05,4,0.23024522578885473,477.5614997840857,0.8172090870628503,5.617426588783957,0.816689894124184,0.5196205563250993,0.5733696647719574,0.5300419344061056,28.457390665479377,3.266759576496736,0.18331010587581592,kefrin_warm,4
5,2023-06,4,0.22500523084036914,476.5569976237613,0.8070053953527893,5.629267181141289,0.8117490366482178,0.5186650069010503,0.571241581537489,0.5290468177399237,29.332392597497755,3.2469961465928714,0.18825096335178218,kefrin_warm,4
6,2023-07,4,0.22480962262076487,476.067131809268,0.8048072892010695,5.635059611175706,0.8143661675523394,0.5145999212381067,0.5738720291494677,0.5262169933808479,29.445700810924258,3.2574646702093575,0.18563383244766068,kefrin_warm,4
7,2023-08,4,0.22397351989760086,475.0937659484273,0.8006656600680476,5.64660464721374,0.8229379929874574,0.5178341980776718,0.5770365156362702,0.5341459149425394,29.891403586907465,3.2917519719498296,0.1770620070125426,kefrin_warm,4
8,2023-09,4,0.22646792426310344,485.1304282870125,0.805078002066707,5.529784384251299,0.8165377115980592,0.5211702612659508,0.5727857661050785,0.529176191599224,28.9513814571993,3.266150846392237,0.18346228840194076,kefrin_warm,4
9,2023-10,4,0.22587477794063598,483.54444340318156,0.806303520485767,5.547921609410053,0.8061069823378642,0.5294144968486745,0.5649894265311306,0.5250422598360773,28.47380303229615,3.2244279293514566,0.19389301766213587,kefrin_warm,4
10,2023-11,4,0.22818997361058357,489.06387039546104,0.8059646444941363,5.485309443319623,0.8093435366955682,0.5251345778404,0.5679546865314036,0.528010084717217,28.730069494949213,3.237374146782273,0.1906564633044318,kefrin_warm,4
11,2023-12,4,0.23217611411240477,492.5388650645697,0.8053967009977782,5.446609104268313,0.8306574417819608,0.5290487427153683,0.5770625353245794,0.5367882384025389,29.04457877520259,3.322629767127843,0.16934255821803926,kefrin_warm,4
12,2024-01,4,0.2307268020049868,498.7377257056596,0.7980355678482965,5.378912659697009,0.8031891224677669,0.5357710139646179,0.5615429146974701,0.5329365518969273,29.237123259601436,3.2127564898710674,0.1968108775322332,kefrin_warm,4
13,2024-02,4,0.23032350586816774,499.04571163682186,0.7964295654362323,5.375593065147836,0.8053978378355812,0.5352931245828465,0.5627729532595842,0.5333602001116459,29.054154627510293,3.2215913513423247,0.1946021621644188,kefrin_warm,4
14,2024-03,4,0.2298240556363525,499.60038099569556,0.7967363968327923,5.369624941678698,0.8145462335729131,0.5387466900423481,0.5661154686323314,0.5413809334708931,29.48680423526537,3.2581849342916525,0.1854537664270869,kefrin_warm,4
15,2024-04,4,0.22835829728157597,496.09899934504375,0.8037370287921343,5.407522833564183,0.7985620619614326,0.5297307010695194,0.561173045851706,0.5259143698584543,28.467749984086986,3.1942482478457306,0.2014379380385674,kefrin_warm,4
16,2024-05,4,0.23333800618933612,500.60823623413654,0.786707329753615,5.358814483052117,0.8023588888570088,0.5324559706732426,0.5621827397284858,0.5323277699318036,29.645321343502932,3.209435555428035,0.19764111114299118,kefrin_warm,4
17,2024-06,4,0.2310936580383204,495.38698895287814,0.7902089807478112,5.4152949643210055,0.8091104833551744,0.5276616466962433,0.5670262437464576,0.5300116857536602,29.459415294665746,3.2364419334206977,0.19088951664482556,kefrin_warm,4
18,2024-07,4,0.2300502885464585,495.04679045706706,0.7925824836489311,5.419016380633056,0.8085731189542953,0.5301847392568013,0.5659529698646792,0.5229301240960784,28.962226892296492,3.234292475817181,0.19142688104570468,kefrin_warm,4
19,2024-08,4,0.231603593817588,501.28179518037297,0.7900473144662893,5.351613987301054,0.8267912189349494,0.5324633684803473,0.5740664706534762,0.5347436108024327,29.560269970570854,3.307164875739798,0.17320878106505053,kefrin_warm,4
20,2024-09,4,0.23573639058543688,512.1073355589078,0.7877669111962415,5.238485138547834,0.8142126548802933,0.5328895435023966,0.5678366271232271,0.5326942724987993,29.354361994632267,3.256850619521173,0.1857873451197068,kefrin_warm,4
21,2024-10,4,0.23611993863765166,509.6893046844631,0.7884203809217967,5.263337178180429,0.7965729608783906,0.5375485341369671,0.5577474036602321,0.5242526853572167,28.340879562613942,3.1862918435135623,0.20342703912160948,kefrin_warm,4
22,2024-11,4,0.23794578545706138,512.3961854644091,0.7848756029198882,5.235532079996338,0.8072564076485653,0.5325899167255832,0.5645399905884405,0.5330443498024845,29.287181135547065,3.2290256305942613,0.19274359235143476,kefrin_warm,4
23,2024-12,4,0.236028387644557,507.44139183900137,0.7952782100607118,5.286653217122284,0.8134268353194037,0.5260887415952629,0.5696526845526287,0.5315512689854283,29.318020929689617,3.253707341277615,0.18657316468059626,kefrin_warm,4
0,2023-01,4,0.22848207811683047,477.37456701970973,0.8251893849206711,5.619626289298955,0.8218731878986106,0.5185887662039915,0.576262097561918,0.5190592708556079,27.676105008432714,3.2874927515944425,0.17812681210138936,kefrin_fixed0.5,4
1,2023-02,4,0.23193083743043172,488.1075307085393,0.8237089834369898,5.4960567044980735,0.8277737716101622,0.5213123558096923,0.578244623755764,0.5201071823729801,27.572195655047004,3.3110950864406488,0.17222622838983775,kefrin_fixed0.5,4
2,2023-03,4,0.23172536774831753,489.2146933483786,0.820228487430382,5.483618344137288,0.8340790560129316,0.521590702561915,0.5812203670427458,0.5262486562788091,27.513359558269137,3.3363162240517266,0.16592094398706836,kefrin_fixed0.5,4
3,2023-04,4,0.22769002335656402,478.7546835974662,0.818141740698925,5.603426469916762,0.8193053050512682,0.5260524909707327,0.5725413564669285,0.5272442459645856,28.1454125299537,3.277221220205073,0.18069469494873192,kefrin_fixed0.5,4
4,2023-05,4,0.22864592927982577,476.7245482809459,0.8160156505318125,5.627288706529338,0.8160870639729007,0.5190804474151601,0.573249900197214,0.5299725835224294,28.52555259156924,3.2643482558916026,0.18391293602709932,kefrin_fixed0.5,4
5,2023-06,4,0.22773726912167186,473.500545116724,0.8132888154972954,5.665604177932582,0.8145975542613518,0.5178317307982986,0.5729241382186271,0.5266444710956499,28.776026549940113,3.2583902170454073,0.18540244573864814,kefrin_fixed0.5,4
6,2023-07,4,0.22870129782800439,474.4338072415986,0.8107187010982464,5.654459327559172,0.8151617382909065,0.5151616978090622,0.5740817766683206,0.5253888165409965,29.01367896467367,3.260646953163626,0.18483826170909348,kefrin_fixed0.5,4
7,2023-08,4,0.22778648398075424,474.1777856092724,0.8028761036360874,5.657512325719139,0.8254926367432796,0.5160498299090992,0.5788887358941743,0.5335630602908933,29.681477805325436,3.301970546973118,0.17450736325672037,kefrin_fixed0.5,4
8,2023-09,4,0.231657164844377,483.77706029595345,0.8060757756517303,5.545253975096565,0.8183585126287645,0.5192041923992585,0.5743289257270567,0.5287700737012637,28.982677104988497,3.273434050515058,0.18164148737123556,kefrin_fixed0.5,4
9,2023-10,4,0.2314508625592249,481.7884494349037,0.8068710045296819,5.568142345075319,0.8155852794986089,0.5237904718706841,0.5714599779604947,0.5287789341054431,28.714440368535513,3.2623411179944357,0.1844147205013912,kefrin_fixed0.5,4
10,2023-11,4,0.23297690810611957,488.08553177981224,0.8048539294303082,5.496304422063643,0.8191828381402099,0.5266458108464944,0.572287162561233,0.533208922784558,28.918083412121277,3.2767313525608395,0.18081716185979016,kefrin_fixed0.5,4
