method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi
kefrin_warm,0.9007944655784698,0.8446211602429855,0.9444229283630248,0.023313492063492064,0.043154761904761904,0.8407738095238095,0.06101190476190476,0,155,0.2323280715696313,490.6516803589421,0.7970644277809084,0.8057151048980536,0.5212270214876905,0.5673990159996182,3.2228604195922146,0.4744378041116128,4.0,4,4.3,0.0,0.0,458.41703502755354
kefrin_fixed0.5,0.9465970925240339,0.9052073528163378,0.9704234153631672,0.011408730158730158,0.024305555555555556,0.8759920634920635,0.017361111111111112,0,156,0.23270336550212423,489.94513905188865,0.7969625302191808,0.8027027664522866,0.5211654216645677,0.565932194641237,3.210811065809146,0.47094671818559003,4.0,4,4.5,0.5,0.5,458.41703502755354
kefrin_t_affect,0.948697112443387,0.9047132972556954,0.9739708334853432,0.010912698412698412,0.022817460317460316,0.8779761904761905,0.017361111111111112,0,156,0.23279607687713424,489.95349509286433,0.7969763821006163,0.8015367538204101,0.5213415588655512,0.5652948998042406,3.2061470152816405,0.46994065758390113,4.0,4,5.6,0.5057795665784558,0.6437227763186716,458.41703502755354
kefrin_t_affect_fe,0.9628224215486202,0.8878461468865237,0.9833138014603043,0.00744047619047619,0.032242063492063495,0.8913690476190477,0.008928571428571428,0,156,0.23228336648911355,488.9269425295536,0.8005626097703424,0.7989014494682193,0.5193839042221179,0.5645804613833532,3.195605797872877,0.46603727844768583,4.0,4,5.6,0.6613553043243324,0.9293931063317321,458.41703502755354
temporal_leiden_w0.5,0.6160329470053795,0.5554091156248244,0.5336081868979796,0.25297619047619047,0.3219246031746032,0.1775793650793651,0.660218253968254,23,0,0.06801099928966098,219.27370671741133,0.7533949235816717,0.8969051719387323,0.4867088737408097,0.6244609452339308,7.24640799000872,0.749788079804078,8.083333333333334,8,29.1,,,
temporal_leiden_w2.0,0.8336165729032513,0.7909197145696781,0.8271330266388832,0.06944444444444445,0.09027777777777778,0.4826388888888889,0.16468253968253968,0,35,0.08574104200947978,249.31586646578384,0.7688348642498536,0.8866137134390225,0.46320400181322247,0.6285355772520792,6.206295994073158,0.711322150716784,7.0,7,34.9,,,
