typology,variant,AMI_months,switch_median,switch_max,never_switch,switch_gt3,switches_total,switches_2023_06,switches_nov_dec_mean,switches_other_mean,AMI_first3_vs_modal,SW,Q,AVI,alpha_mean,reset_share
K4,до (старт по первым 3 мес.),0.9260834509469056,0.0168650793650793,0.0386904761904761,0.8705357142857143,0.0362103174603174,752,78,48.75,28.0,0.8221257377758691,0.2310423684978468,0.5353086295637626,0.8116298081878992,0.7239457877092504,0.4456431878306878
K4,после (второй проход),0.948510518348744,0.0114087301587301,0.0267857142857142,0.8883928571428571,0.0262896825396825,579,36,35.25,22.61111111111111,0.8457146556346552,0.2311009660280001,0.5335934243795715,0.8079964141786364,0.7053534512738114,0.2872643849206349
K6,до (старт по первым 3 мес.),0.920191265386101,0.0257936507936507,0.0515873015873015,0.7589285714285714,0.0550595238095238,1269,78,56.0,56.22222222222222,0.7988444289414011,0.1675676555357768,0.5232912928462841,0.6817676870744359,0.6448020321406552,0.2762276785714285
K6,после (второй проход),0.9318974295809208,0.0228174603174603,0.0426587301587301,0.7743055555555556,0.0510912698412698,1141,57,72.5,42.833333333333336,0.8132338500904103,0.1666027977849623,0.5208310199306398,0.680293685136368,0.6713998379498504,0.1878720238095238
K5_beh,до (старт по первым 3 мес.),0.8299081681168113,0.0575396825396825,0.1374007936507936,0.4578373015873015,0.1354166666666666,2936,126,95.25,131.66666666666666,0.6450047810602304,0.2313576837430805,0.6282984758905851,0.8678156453723097,0.5592412002443389,0.1273354828042328
K5_beh,после (второй проход),0.8282515282028762,0.0610119047619047,0.1259920634920635,0.460813492063492,0.1398809523809523,2917,105,93.75,131.33333333333334,0.6433278202074266,0.2310457904371445,0.6281310480844309,0.8677994477379244,0.5628495236940703,0.1267361111111111
