id,name,short,region,mo_type,lat,lon,macro,sub,switches_macro,switches_sub,population,wage,market_access,urban_share,total_2024,total_2023
689,Богучанский муниципальный район,Богучанский,Красноярский край,муниципальный район,58.6956307873364,97.47797026731826,1,1,7,0,42225.0,86545.7,186.1,0.0,36341.833333333336,31552.583333333332
690,Большемуртинский муниципальный район,Большемуртинский,Красноярский край,муниципальный район,57.013667420166925,92.98019309734408,3,0,0,0,13529.0,62263.9,206.6,0.5137112868652525,24420.5,21278.833333333332
691,Большеулуйский муниципальный район,Большеулуйский,Красноярский край,муниципальный район,56.63780115499392,90.64729956925174,3,0,2,5,6681.0,108725.7,212.3,0.0,21989.75,21538.75
692,Дзержинский муниципальный район,Дзержинский,Красноярский край,муниципальный район,56.83770188667445,95.10351495177876,3,0,0,0,11389.0,57387.7,196.7,0.0,23336.833333333332,20787.5
693,Емельяновский муниципальный район,Емельяновский,Красноярский край,муниципальный район,56.31702138508148,92.34908777679492,0,5,2,1,55572.0,93491.1,221.7,0.2812567480025912,36803.75,31601.333333333332
694,Енисейский муниципальный район,Енисейский,Красноярский край,муниципальный район,59.68718337377343,88.97977455882489,3,1,1,0,21238.0,79274.1,195.7,0.16475185987381108,30097.833333333332,27304.666666666668
695,Ермаковский муниципальный район,Ермаковский,Красноярский край,муниципальный район,52.515800849354605,92.73201501505125,3,0,0,2,17423.0,57832.4,197.6,0.0,26642.0,22888.083333333332
696,Идринский муниципальный район,Идринский,Красноярский край,муниципальный район,54.56143132660263,92.50544439926124,3,0,0,2,10295.0,56047.9,197.2,0.0,21817.75,19263.75
697,Иланский муниципальный район,Иланский,Красноярский край,муниципальный район,56.0000115449236,96.1768221078076,0,1,4,0,22528.0,78793.0,200.5,0.69189453125,24850.75,22250.666666666668
698,Ирбейский муниципальный район,Ирбейский,Красноярский край,муниципальный район,55.22355924931165,95.97745087157804,3,0,0,2,12610.0,75513.9,202.6,0.0,25197.666666666668,22052.166666666668
699,Казачинский муниципальный район,Казачинский,Красноярский край,муниципальный район,57.603094685125434,93.33004178739964,3,0,0,0,8558.0,57344.0,199.8,0.0,24131.25,20861.166666666668
701,Каратузский муниципальный район,Каратузский,Красноярский край,муниципальный район,53.3389821061136,93.60946464986576,3,0,0,0,13157.0,60723.7,197.2,0.0,25616.416666666668,21843.416666666668
702,Кежемский муниципальный район,Кежемский,Красноярский край,муниципальный район,58.82657243386424,100.68984112270628,1,1,1,0,16559.0,96691.5,183.0,0.7772812367896612,39321.25,34022.083333333336
703,Козульский муниципальный район,Козульский,Красноярский край,муниципальный район,56.20913571489413,91.43007438587075,3,0,0,0,11808.0,66336.4,214.6,0.5247289972899729,24436.833333333332,21557.5
704,Краснотуранский муниципальный район,Краснотуранский,Красноярский край,муниципальный район,54.39261178595453,91.64573432427233,3,0,0,0,12848.0,52475.8,196.5,0.0,25487.583333333332,22117.333333333332
705,Курагинский муниципальный район,Курагинский,Красноярский край,муниципальный район,54.00452745172769,94.37766253415958,3,1,0,1,39269.0,61814.0,198.6,0.5665028393898495,27950.0,23984.833333333332
706,Манский муниципальный район,Манский,Красноярский край,муниципальный район,55.38595632424965,93.61308565052364,3,0,0,0,13436.0,56676.4,209.7,0.0,22025.166666666668,19038.666666666668
708,Мотыгинский муниципальный район,Мотыгинский,Красноярский край,муниципальный район,58.56769596758299,94.5455082689573,1,3,0,0,12009.0,100468.3,178.0,0.5598301274044467,35699.0,29213.083333333332
710,Нижнеингашский муниципальный район,Нижнеингашский,Красноярский край,муниципальный район,56.30983914943894,97.00955877788478,3,0,0,0,23480.0,59387.1,199.1,0.5654173764906303,26089.416666666668,22573.0
711,Новоселовский муниципальный район,Новоселовский,Красноярский край,муниципальный район,54.971826322826054,91.21830421914812,3,0,0,2,10619.0,58707.4,209.2,0.0,26337.333333333332,22550.5
712,Партизанский муниципальный район,Партизанский,Красноярский край,муниципальный район,54.991923419385,94.260950063833,3,0,0,2,7989.0,65385.3,204.7,0.0,23079.0,19987.916666666668
713,Пировский муниципальный округ,Пировский,Красноярский край,муниципальный округ,57.56594190831638,91.9672445625188,3,0,0,0,5747.0,58840.6,196.5,0.0,24274.333333333332,21511.166666666668
714,Рыбинский муниципальный район,Рыбинский,Красноярский край,муниципальный район,55.9935758843672,94.76657952315682,3,1,0,2,29400.0,71689.9,206.4,0.5154761904761904,26834.416666666668,23734.25
715,Саянский муниципальный район,Саянский,Красноярский край,муниципальный район,54.88850252864267,95.07130346569326,3,0,0,0,9056.0,56506.0,201.4,0.0,23666.583333333332,20760.416666666668
716,Северо-Енисейский муниципальный район,Северо-Енисейский,Красноярский край,муниципальный район,60.03725106948026,93.3274305978148,1,3,0,0,8308.0,154150.8,181.6,0.7172604718343765,42019.083333333336,34722.083333333336
717,Сухобузимский муниципальный район,Сухобузимский,Красноярский край,муниципальный район,56.57366674980082,93.78118495350569,3,0,0,0,18911.0,59181.9,210.6,0.0,24766.166666666668,20945.75
718,Таймырский Долгано-Ненецкий муниципальный район,Таймырский Долгано-Ненецкий,Красноярский край,муниципальный район,75.06612942576966,96.30453815236096,1,3,0,0,29609.0,162835.1,,0.6624674929919957,48107.25,45573.416666666664
719,Тасеевский муниципальный район,Тасеевский,Красноярский край,муниципальный район,57.37485792896553,94.85594268866656,3,0,0,0,9952.0,56323.3,193.9,0.0,24723.666666666668,21567.166666666668
720,Туруханский муниципальный район,Туруханский,Красноярский край,муниципальный район,64.76314482474972,87.37667897051539,1,3,0,0,12684.0,152563.2,,0.28058971933144117,44763.916666666664,39364.083333333336
721,Тюхтетский муниципальный округ,Тюхтетский,Красноярский край,муниципальный округ,56.98075287829852,89.26983674170079,3,0,0,0,7536.0,58910.8,213.2,0.0,24247.166666666668,21072.166666666668
722,Ужурский муниципальный район,Ужурский,Красноярский край,муниципальный район,55.354908922607834,90.10192238869423,3,1,0,4,27453.0,68907.9,212.3,0.5161184569992351,30395.416666666668,25816.083333333332
723,Уярский муниципальный район,Уярский,Красноярский край,муниципальный район,55.83454925100172,94.22200695179691,3,1,0,0,17912.0,63090.6,207.6,0.6583296114336757,24784.0,21594.916666666668
725,Шушенский муниципальный район,Шушенский,Красноярский край,муниципальный район,52.62763646826646,91.57580273972732,3,2,0,1,30274.0,58071.5,199.1,0.5536103587236573,29350.083333333332,25781.25
726,Эвенкийский муниципальный район,Эвенкийский,Красноярский край,муниципальный район,65.09633105990228,98.94168508531511,1,3,0,0,13258.0,133246.0,,0.0,40767.833333333336,36097.75
727,городской округ Пермский,Пермский,Пермский край,городской округ,58.036276511823,56.26484640817866,0,4,0,0,1026912.0,88118.2,350.9,0.9999961048268985,38374.333333333336,32845.5
731,городской округ Лысьвенский,Лысьвенский,Пермский край,городской округ,57.90665203812168,57.99887604274922,0,4,0,0,61124.0,59536.1,299.9,0.8623126758719979,27799.416666666668,23836.416666666668
734,муниципальный округ Александровский,Александровский,Пермский край,муниципальный округ,59.41962946528529,57.83604491739971,0,1,4,0,22642.0,58279.0,286.7,0.9061478667962194,26115.416666666668,22638.333333333332
735,муниципальный округ Бардымский,Бардымский,Пермский край,муниципальный округ,56.88784184593401,55.6578605689722,3,1,0,3,26262.0,64471.0,314.5,0.0,23176.583333333332,20401.166666666668
736,муниципальный округ Березовский,Березовский,Пермский край,муниципальный округ,57.633072049788886,57.54555600839672,3,0,0,8,13486.0,59871.3,305.8,0.0,20549.916666666668,17962.5
737,муниципальный округ Большесосновский,Большесосновский,Пермский край,муниципальный округ,57.54175583169073,54.45309737708888,3,0,0,2,11730.0,52881.4,317.8,0.0,23140.5,20348.666666666668
738,городской округ Верещагинский,Верещагинский,Пермский край,городской округ,58.12512728702885,54.396641311554326,0,1,0,1,38931.0,51615.6,311.9,0.5649739282320002,24426.416666666668,22013.5
739,городской округ Горнозаводский,Горнозаводский,Пермский край,городской округ,58.58441056062335,58.67519369781525,0,1,0,1,21697.0,67217.5,297.8,0.9538645895745955,26465.083333333332,23296.333333333332
741,городской округ Добрянский,Добрянский,Пермский край,городской округ,58.626860700031806,56.67200113577088,0,4,0,0,47730.0,81849.5,304.4,0.8319924575738529,29037.0,25330.75
742,муниципальный округ Еловский,Еловский,Пермский край,муниципальный округ,56.929012466244075,54.88264709059232,3,0,0,4,8527.0,48798.7,312.2,0.0,23169.666666666668,20705.416666666668
743,городской округ Ильинский,Ильинский,Пермский край,городской округ,58.64519859372546,55.76487411438351,3,1,0,3,17130.0,51646.9,305.1,0.1681260945709282,20341.416666666668,18428.5
744,муниципальный округ Карагайский,Карагайский,Пермский край,муниципальный округ,58.47926693283577,55.01849503232181,3,0,0,0,19967.0,49766.6,311.0,0.0,23931.666666666668,21111.666666666668
745,городской округ город Кизел,Кизел,Пермский край,городской округ,59.089990799776984,58.11813484416398,0,1,0,0,17213.0,50204.2,288.1,0.8750363097658747,25805.833333333332,22603.583333333332
746,муниципальный округ Кишертский,Кишертский,Пермский край,муниципальный округ,57.33974650789323,57.598846657749725,3,0,0,0,10872.0,52600.8,308.9,0.0,19084.083333333332,17475.75
747,городской округ Красновишерский,Красновишерский,Пермский край,городской округ,60.525575010043696,58.286229694835505,3,1,1,0,17217.0,52325.2,273.0,0.8117558227333449,24481.083333333332,21950.833333333332
748,городской округ Краснокамский,Краснокамский,Пермский край,городской округ,58.168834946111794,55.89908934075465,0,4,0,0,66475.0,73277.6,318.3,0.7808349003384731,32336.333333333332,26933.833333333332
749,муниципальный округ Куединский,Куединский,Пермский край,муниципальный округ,56.538214152593405,55.20825021103769,3,0,0,1,22949.0,51245.8,318.5,0.0,23395.666666666668,20534.666666666668
751,городской округ Нытвенский,Нытвенский,Пермский край,городской округ,58.11444135908893,55.36505621632673,0,1,0,1,37780.0,59224.5,315.9,0.6790365272631022,25568.5,22545.0
752,городской округ Октябрьский,Октябрьский,Пермский край,городской округ,56.50006966324423,56.956877631489654,3,1,5,0,23944.0,60795.1,313.1,0.5637320414300033,21701.083333333332,18889.333333333332
753,муниципальный округ Ординский,Ординский,Пермский край,муниципальный округ,57.08135751241837,56.779534207535086,3,0,0,0,13958.0,53812.9,311.7,0.0,20971.833333333332,19102.083333333332
754,городской округ Осинский,Осинский,Пермский край,городской округ,57.2712166383717,55.49418635586119,0,4,0,1,26196.0,67450.8,309.6,0.7337761490303863,27123.083333333332,24474.75
